time	V(n003)	V(n008)
1.257139792428669e-006	1.923048e+001	-1.002146e+000
1.262825034792359e-006	1.905198e+001	-1.006529e+000
1.268634770460603e-006	1.886797e+001	-1.010866e+000
1.274402094148669e-006	1.868374e+001	-1.015049e+000
1.281513353792313e-006	1.845466e+001	-1.020018e+000
1.288832430734049e-006	1.821687e+001	-1.024942e+000
1.296087722646444e-006	1.797920e+001	-1.029622e+000
1.302685916661911e-006	1.776141e+001	-1.033691e+000
1.309635884180066e-006	1.753029e+001	-1.037785e+000
1.318025078089063e-006	1.724923e+001	-1.042450e+000
1.328423425435432e-006	1.689823e+001	-1.047863e+000
1.338524190732521e-006	1.655481e+001	-1.052732e+000
1.347872570892778e-006	1.623491e+001	-1.056869e+000
1.357101609460870e-006	1.591738e+001	-1.060604e+000
1.365973227897277e-006	1.561081e+001	-1.063855e+000
1.375789311922754e-006	1.527027e+001	-1.067048e+000
1.388928386254762e-006	1.481297e+001	-1.070664e+000
1.406081996068592e-006	1.421471e+001	-1.074392e+000
1.422978156886273e-006	1.362529e+001	-1.076966e+000
1.439759434736232e-006	1.304107e+001	-1.078387e+000
1.456104038368572e-006	1.247453e+001	-1.078709e+000
1.471126834004521e-006	1.195713e+001	-1.078078e+000
1.485579329132264e-006	1.146336e+001	-1.076638e+000
1.499016114545754e-006	1.100865e+001	-1.074576e+000
1.512391225685916e-006	1.056099e+001	-1.071836e+000
1.526034299398349e-006	1.011034e+001	-1.068334e+000
1.541855947501114e-006	9.596872e+000	-1.063361e+000
1.563962774314698e-006	8.898882e+000	-1.054801e+000
1.598004828670674e-006	7.865892e+000	-1.038720e+000
1.631710813906201e-006	6.898386e+000	-1.019663e+000
1.667076322087874e-006	5.951748e+000	-9.964806e-001
1.698191836957408e-006	5.180849e+000	-9.737641e-001
1.725036428753407e-006	4.566381e+000	-9.526082e-001
1.745582360573872e-006	4.129231e+000	-9.355672e-001
1.761036007612987e-006	3.820328e+000	-9.223155e-001
1.771752068814581e-006	3.616446e+000	-9.129238e-001
1.779472176530877e-006	3.475006e+000	-9.060640e-001
1.785289358346986e-006	3.371576e+000	-9.008449e-001
1.791468220001952e-006	3.264578e+000	-8.952519e-001
1.797733270286067e-006	3.158622e+000	-8.895506e-001
1.802356765966129e-006	3.082111e+000	-8.853139e-001
1.805704655168106e-006	3.027765e+000	-8.822304e-001
1.809244494430096e-006	2.971213e+000	-8.789693e-001
1.812588636362217e-006	2.918545e+000	-8.758688e-001
1.814924418978153e-006	2.882253e+000	-8.736930e-001
1.817546939363035e-006	2.841974e+000	-8.712589e-001
1.819988481272655e-006	2.804901e+000	-8.689855e-001
1.822417522969605e-006	2.768454e+000	-8.667040e-001
1.824619769108526e-006	2.735736e+000	-8.646389e-001
1.826334492374682e-006	2.710496e+000	-8.630390e-001
1.828467479959850e-006	2.679398e+000	-8.610368e-001
1.830030287832546e-006	2.656834e+000	-8.595567e-001
1.832099109332075e-006	2.627217e+000	-8.576009e-001
1.833666283319879e-006	2.604957e+000	-8.561295e-001
1.835689193461360e-006	2.576488e+000	-8.542236e-001
1.837421002851697e-006	2.552360e+000	-8.525758e-001
1.839445732659123e-006	2.524413e+000	-8.506484e-001
1.841304967040158e-006	2.498972e+000	-8.488904e-001
1.843352914126378e-006	2.471236e+000	-8.469496e-001
1.845512785893927e-006	2.442308e+000	-8.448840e-001
1.847495333960614e-006	2.416024e+000	-8.429872e-001
1.849351518919823e-006	2.391650e+000	-8.412220e-001
1.851458747020168e-006	2.364265e+000	-8.392130e-001
1.853351557581234e-006	2.339942e+000	-8.373925e-001
1.855417437374857e-006	2.313669e+000	-8.354050e-001
1.857251138468602e-006	2.290571e+000	-8.336514e-001
1.859300825614307e-006	2.265024e+000	-8.316869e-001
1.861174850310149e-006	2.241935e+000	-8.298753e-001
1.863213386552737e-006	2.217083e+000	-8.279039e-001
1.865069025570182e-006	2.194681e+000	-8.261198e-001
1.867106512332822e-006	2.170353e+000	-8.241571e-001
1.869025394302809e-006	2.147713e+000	-8.222933e-001
1.871056626103623e-006	2.124011e+000	-8.203193e-001
1.872941198056977e-006	2.102245e+000	-8.184980e-001
1.874976781817556e-006	2.079007e+000	-8.165269e-001
1.877081744205977e-006	2.055274e+000	-8.144726e-001
1.879013203490154e-006	2.033745e+000	-8.125870e-001
1.880818111331395e-006	2.013839e+000	-8.108342e-001
1.882859269417697e-006	1.991592e+000	-8.088483e-001
1.884933789081389e-006	1.969266e+000	-8.068143e-001
1.886840326602995e-006	1.948987e+000	-8.049439e-001
1.888647576282765e-006	1.929974e+000	-8.031803e-001
1.890669405646417e-006	1.908956e+000	-8.012039e-001
1.892680343743014e-006	1.888323e+000	-7.992235e-001
1.894620389467777e-006	1.868659e+000	-7.973112e-001
1.896498945812980e-006	1.849834e+000	-7.954688e-001
1.898504498984432e-006	1.829986e+000	-7.934990e-001
1.900474382119516e-006	1.810753e+000	-7.915503e-001
1.902454181742369e-006	1.791672e+000	-7.895897e-001
1.904485680718354e-006	1.772326e+000	-7.875873e-001
1.906413064207274e-006	1.754213e+000	-7.856846e-001
1.908436603834801e-006	1.735463e+000	-7.836730e-001
