time	I(R7)
0.000000000000000e+000	7.509326e-001
4.665808215481571e-008	7.489793e-001
1.399742464644471e-007	7.450735e-001
2.986828376780326e-007	7.384329e-001
4.633844894186279e-007	7.315460e-001
7.927877928963489e-007	7.177842e-001
1.192787792897443e-006	7.010915e-001
1.592787792898537e-006	6.844208e-001
1.992787792899631e-006	6.677735e-001
2.392787792900725e-006	6.511499e-001
2.792787792901819e-006	6.345505e-001
3.192787792902913e-006	6.179754e-001
3.592787792904006e-006	6.014252e-001
3.992787792905100e-006	5.849001e-001
4.392787792906194e-006	5.683956e-001
4.475999999996316e-006	5.649655e-001
4.642424414176560e-006	5.581100e-001
4.643424414172565e-006	5.580688e-001
4.645424414164573e-006	5.579865e-001
4.649424414148590e-006	5.578218e-001
4.657424414116623e-006	5.574924e-001
4.673424414052690e-006	5.568336e-001
4.705424413924825e-006	5.555163e-001
4.769424413669093e-006	5.528820e-001
4.770424413665098e-006	5.528408e-001
4.772424413657106e-006	5.527585e-001
4.776424413641123e-006	5.525939e-001
4.784424413609156e-006	5.522646e-001
4.800424413545223e-006	5.516062e-001
4.832424413417358e-006	5.502895e-001
4.833424413413362e-006	5.502483e-001
4.835424413405370e-006	5.501661e-001
4.839424413389387e-006	5.500014e-001
4.847424413357421e-006	5.496723e-001
4.860000000061343e-006	5.491549e-001
4.861000000057347e-006	5.491138e-001
4.863000000049356e-006	5.490315e-001
4.867000000033372e-006	5.488670e-001
4.868000000029377e-006	5.488258e-001
4.870000000021385e-006	5.487435e-001
4.872000000013393e-006	5.486613e-001
4.873000000009398e-006	5.486201e-001
4.874000000005402e-006	5.485790e-001
4.875000000001406e-006	5.485379e-001
4.876000000000880e-006	5.484967e-001
4.876099999998745e-006	5.484926e-001
4.876299999997946e-006	5.484844e-001
4.876599999998482e-006	5.484720e-001
4.877000000000353e-006	5.484556e-001
4.877040000000193e-006	5.484539e-001
4.877119999999874e-006	5.484506e-001
4.877279999999234e-006	5.484440e-001
4.877599999997956e-006	5.484309e-001
4.878239999995399e-006	5.484046e-001
4.879519999990284e-006	5.483519e-001
4.881682621919042e-006	5.482630e-001
4.886007865776559e-006	5.480850e-001
4.890594600633069e-006	5.478963e-001
4.896759079754676e-006	5.476427e-001
4.904069703381975e-006	5.473420e-001
4.909961713154415e-006	5.470996e-001
4.914022389165135e-006	5.469325e-001
4.918545201116481e-006	5.467464e-001
4.921007152963730e-006	5.466452e-001
4.923904118929456e-006	5.465260e-001
4.928893795726197e-006	5.463207e-001
4.935168614449842e-006	5.460625e-001
4.939636908864870e-006	5.458786e-001
4.942425477692108e-006	5.457638e-001
4.945956125296247e-006	5.456181e-001
4.948438800542188e-006	5.455153e-001
4.951393399822701e-006	5.453926e-001
4.955045593609680e-006	5.452412e-001
4.959343301216140e-006	5.450638e-001
4.966276552897248e-006	5.447783e-001
4.973047449039619e-006	5.444992e-001
4.978572505247303e-006	5.442719e-001
4.982455359323762e-006	5.441156e-001
4.986436941179645e-006	5.439633e-001
4.991013461557586e-006	5.438009e-001
4.996062097924192e-006	5.436414e-001
5.003368266288943e-006	5.434487e-001
5.011370225752043e-006	5.432780e-001
5.013125102024119e-006	5.432484e-001
5.014293224442357e-006	5.432320e-001
5.014891756402462e-006	5.432243e-001
5.015396640137976e-006	5.432182e-001
5.015734844539960e-006	5.432143e-001
5.016065499789668e-006	5.432107e-001
5.016520079607900e-006	5.432062e-001
5.016986439451004e-006	5.432020e-001
5.017193823390886e-006	5.432004e-001
5.017416432259725e-006	5.431991e-001
5.017643571608721e-006	5.431981e-001
5.017958539264844e-006	5.431976e-001
5.018330879305588e-006	5.431980e-001
5.018388738387697e-006	5.431983e-001
5.018504456551914e-006	5.431991e-001
5.018735892880349e-006	5.432012e-001
5.018773519844394e-006	5.432016e-001
5.018848773769014e-006	5.432026e-001
5.018999281618253e-006	5.432047e-001
5.019106507242466e-006	5.432064e-001
5.019176674374987e-006	5.432075e-001
5.019262557144633e-006	5.432091e-001
5.019305719871497e-006	5.432099e-001
5.019356570622191e-006	5.432109e-001
5.019413015144858e-006	5.432120e-001
5.019525904193661e-006	5.432144e-001
5.019751682287799e-006	5.432197e-001
5.020203238476073e-006	5.432315e-001
5.020838776490649e-006	5.432498e-001
5.021607562976510e-006	5.432734e-001
5.022332047063816e-006	5.432956e-001
5.023333344459507e-006	5.433234e-001
5.024329779571013e-006	5.433454e-001
5.024908274347401e-006	5.433542e-001
5.025178090447419e-006	5.433567e-001
5.025486567312998e-006	5.433587e-001
5.025742587649873e-006	5.433604e-001
5.026030425455547e-006	5.433624e-001
5.026429449953018e-006	5.433653e-001
5.026865312087597e-006	5.433687e-001
5.027573542499414e-006	5.433745e-001
5.028022080924566e-006	5.433785e-001
5.028376710042304e-006	5.433819e-001
5.028802977861957e-006	5.433862e-001
5.029276452878095e-006	5.433915e-001
5.029597105667139e-006	5.433953e-001
5.029789324678680e-006	5.433978e-001
5.030021857466843e-006	5.434010e-001
5.030251271541386e-006	5.434045e-001
5.030584934184040e-006	5.434099e-001
5.030959072189339e-006	5.434169e-001
5.031336481053916e-006	5.434246e-001
5.031393950506724e-006	5.434259e-001
5.031508889408870e-006	5.434286e-001
5.031738767216631e-006	5.434344e-001
5.032198522832154e-006	5.434465e-001
5.032362842927879e-006	5.434511e-001
5.032531180535621e-006	5.434560e-001
5.032654826292449e-006	5.434595e-001
5.032780035014312e-006	5.434632e-001
5.032899967415128e-006	5.434668e-001
5.033139832220229e-006	5.434740e-001
5.033619561826963e-006	5.434882e-001
5.034265608185734e-006	5.435067e-001
5.034934144613340e-006	5.435246e-001
5.035322832993433e-006	5.435341e-001
5.035465094917896e-006	5.435373e-001
5.035576275919801e-006	5.435396e-001
5.035739532640443e-006	5.435429e-001
5.035882681726778e-006	5.435458e-001
5.036035552102858e-006	5.435489e-001
5.036198918714763e-006	5.435521e-001
5.036425548773232e-006	5.435567e-001
5.036728333827206e-006	5.435628e-001
5.037153727151938e-006	5.435714e-001
5.037839428262414e-006	5.435854e-001
5.038438295901920e-006	5.435976e-001
5.038835960580884e-006	5.436059e-001
5.039240787239191e-006	5.436144e-001
5.039729943315946e-006	5.436250e-001
5.040166456669187e-006	5.436347e-001
5.040374881189885e-006	5.436395e-001
5.040604503330631e-006	5.436449e-001
5.040839115962037e-006	5.436506e-001
5.041170372477311e-006	5.436589e-001
5.041549989745486e-006	5.436689e-001
5.041942312482284e-006	5.436798e-001
5.042002533286322e-006	5.436816e-001
5.042122974897867e-006	5.436851e-001
5.042363858120957e-006	5.436924e-001
5.042417412989830e-006	5.436941e-001
5.042524522731046e-006	5.436974e-001
5.042738742213476e-006	5.437042e-001
5.042827916475201e-006	5.437071e-001
5.042916588041818e-006	5.437099e-001
5.042982817785729e-006	5.437121e-001
5.043045481632064e-006	5.437141e-001
5.043111866567807e-006	5.437163e-001
5.043187779392444e-006	5.437188e-001
5.043339605045188e-006	5.437238e-001
5.043643256347208e-006	5.437337e-001
5.044250558954716e-006	5.437532e-001
5.044901916606559e-006	5.437733e-001
5.045244079057709e-006	5.437832e-001
5.045515284352042e-006	5.437906e-001
5.045873447542121e-006	5.438001e-001
5.046232001641726e-006	5.438095e-001
5.046593350956780e-006	5.438190e-001
5.047032215231562e-006	5.438305e-001
5.047688095866088e-006	5.438476e-001
5.048114959632644e-006	5.438589e-001
5.048507285377452e-006	5.438693e-001
5.049034792498769e-006	5.438834e-001
5.049543582203581e-006	5.438974e-001
5.049775689956737e-006	5.439039e-001
5.049970006922033e-006	5.439094e-001
5.050148290157430e-006	5.439146e-001
5.050424770822182e-006	5.439228e-001
5.050734944223034e-006	5.439321e-001
5.051165579930683e-006	5.439456e-001
5.051595543752174e-006	5.439594e-001
5.051657266219589e-006	5.439615e-001
5.051780711154419e-006	5.439656e-001
5.052027601020609e-006	5.439740e-001
5.052294802902757e-006	5.439832e-001
5.052510610614736e-006	5.439907e-001
5.052727054425527e-006	5.439982e-001
5.052926599819624e-006	5.440052e-001
5.053164624398837e-006	5.440134e-001
5.053587864928266e-006	5.440279e-001
5.053968718367330e-006	5.440407e-001
5.054193796046047e-006	5.440480e-001
5.054408521797116e-006	5.440549e-001
5.054664681994336e-006	5.440630e-001
5.054915006779542e-006	5.440708e-001
5.055267180496814e-006	5.440819e-001
5.055605160637217e-006	5.440924e-001
5.056234768416323e-006	5.441121e-001
5.056715624705138e-006	5.441272e-001
5.057129112188974e-006	5.441402e-001
5.057606621016592e-006	5.441554e-001
5.058121310790031e-006	5.441719e-001
5.058506328748519e-006	5.441845e-001
5.058708605277379e-006	5.441912e-001
5.058932809970385e-006	5.441988e-001
5.059162161778763e-006	5.442065e-001
5.059493629021306e-006	5.442179e-001
5.059741860425487e-006	5.442265e-001
5.059956939498095e-006	5.442341e-001
5.060178452399866e-006	5.442419e-001
5.060486096806344e-006	5.442528e-001
5.060790170739044e-006	5.442635e-001
5.060815328854218e-006	5.442644e-001
5.060865645081097e-006	5.442662e-001
5.060966277534856e-006	5.442697e-001
5.061167542445844e-006	5.442768e-001
5.061398735246858e-006	5.442849e-001
5.061601972305985e-006	5.442920e-001
