time	V(vo2)
0.000000000000000e+000	2.431584e+001
4.665808215481571e-008	2.431562e+001
1.399742464644471e-007	2.431529e+001
2.986828376780326e-007	2.431474e+001
4.633844894186279e-007	2.431411e+001
7.927877928963489e-007	2.431270e+001
1.192787792897443e-006	2.431075e+001
1.592787792898537e-006	2.430853e+001
1.992787792899631e-006	2.430602e+001
2.392787792900725e-006	2.430322e+001
2.792787792901819e-006	2.430013e+001
3.192787792902913e-006	2.429676e+001
3.592787792904006e-006	2.429310e+001
3.992787792905100e-006	2.428916e+001
4.392787792906194e-006	2.428499e+001
4.475999999996316e-006	2.428408e+001
4.642424414176560e-006	2.428222e+001
4.643424414172565e-006	2.428221e+001
4.645424414164573e-006	2.428219e+001
4.649424414148590e-006	2.428214e+001
4.657424414116623e-006	2.428205e+001
4.673424414052690e-006	2.428186e+001
4.705424413924825e-006	2.428150e+001
4.769424413669093e-006	2.428076e+001
4.770424413665098e-006	2.428074e+001
4.772424413657106e-006	2.428073e+001
4.776424413641123e-006	2.428068e+001
4.784424413609156e-006	2.428059e+001
4.800424413545223e-006	2.428040e+001
4.832424413417358e-006	2.428003e+001
4.833424413413362e-006	2.428002e+001
4.835424413405370e-006	2.427999e+001
4.839424413389387e-006	2.427994e+001
4.847424413357421e-006	2.427985e+001
4.860000000061343e-006	2.427971e+001
4.861000000057347e-006	2.427970e+001
4.863000000049356e-006	2.427967e+001
4.867000000033372e-006	2.427962e+001
4.868000000029377e-006	2.427960e+001
4.870000000021385e-006	2.427958e+001
4.872000000013393e-006	2.427956e+001
4.873000000009398e-006	2.427955e+001
4.874000000005402e-006	2.427954e+001
4.875000000001406e-006	2.427953e+001
4.876000000000880e-006	2.427952e+001
4.876099999998745e-006	2.427952e+001
4.876299999997946e-006	2.427951e+001
4.876599999998482e-006	2.427951e+001
4.877000000000353e-006	2.427951e+001
4.877040000000193e-006	2.427950e+001
4.877119999999874e-006	2.427950e+001
4.877279999999234e-006	2.427950e+001
4.877599999997956e-006	2.427950e+001
4.878239999995399e-006	2.427949e+001
4.879519999990284e-006	2.427948e+001
4.881682621919042e-006	2.427947e+001
4.886007865776559e-006	2.427948e+001
4.890594600633069e-006	2.427947e+001
4.896759079754676e-006	2.427943e+001
4.904069703381975e-006	2.427936e+001
4.909961713154415e-006	2.427936e+001
4.914022389165135e-006	2.427942e+001
4.918545201116481e-006	2.427956e+001
4.921007152963730e-006	2.427965e+001
4.923904118929456e-006	2.427976e+001
4.928893795726197e-006	2.427987e+001
4.935168614449842e-006	2.427996e+001
4.939636908864870e-006	2.428009e+001
4.942425477692108e-006	2.428053e+001
4.945956125296247e-006	2.428206e+001
4.948438800542188e-006	2.428417e+001
4.951393399822701e-006	2.428754e+001
4.955045593609680e-006	2.429107e+001
4.959343301216140e-006	2.429270e+001
4.966276552897248e-006	2.429264e+001
4.973047449039619e-006	2.429361e+001
4.978572505247303e-006	2.429295e+001
4.982455359323762e-006	2.428152e+001
4.986436941179645e-006	2.424493e+001
4.991013461557586e-006	2.416398e+001
4.996062097924192e-006	2.401785e+001
5.003368266288943e-006	2.370078e+001
5.011370225752043e-006	2.324594e+001
5.013125102024119e-006	2.312620e+001
5.014293224442357e-006	2.303811e+001
5.014891756402462e-006	2.299468e+001
5.015396640137976e-006	2.297433e+001
5.015734844539960e-006	2.300049e+001
5.016065499789668e-006	2.310961e+001
5.016520079607900e-006	2.341034e+001
5.016986439451004e-006	2.385008e+001
5.017193823390886e-006	2.407773e+001
5.017416432259725e-006	2.432264e+001
5.017643571608721e-006	2.454092e+001
5.017958539264844e-006	2.476724e+001
5.018330879305588e-006	2.494629e+001
5.018388738387697e-006	2.496169e+001
5.018504456551914e-006	2.497300e+001
5.018735892880349e-006	2.497807e+001
5.018773519844394e-006	2.497614e+001
5.018848773769014e-006	2.496756e+001
5.018999281618253e-006	2.494569e+001
5.019106507242466e-006	2.492714e+001
5.019176674374987e-006	2.491376e+001
5.019262557144633e-006	2.489676e+001
5.019305719871497e-006	2.488808e+001
5.019356570622191e-006	2.487777e+001
5.019413015144858e-006	2.486618e+001
5.019525904193661e-006	2.484257e+001
5.019751682287799e-006	2.479395e+001
5.020203238476073e-006	2.469305e+001
5.020838776490649e-006	2.454602e+001
5.021607562976510e-006	2.436457e+001
5.022332047063816e-006	2.419511e+001
5.023333344459507e-006	2.397257e+001
5.024329779571013e-006	2.377131e+001
5.024908274347401e-006	2.366855e+001
5.025178090447419e-006	2.362606e+001
5.025486567312998e-006	2.358024e+001
5.025742587649873e-006	2.354251e+001
5.026030425455547e-006	2.349998e+001
5.026429449953018e-006	2.344075e+001
5.026865312087597e-006	2.337603e+001
5.027573542499414e-006	2.327897e+001
5.028022080924566e-006	2.324423e+001
5.028376710042304e-006	2.327014e+001
5.028802977861957e-006	2.339950e+001
5.029276452878095e-006	2.365582e+001
5.029597105667139e-006	2.388741e+001
5.029789324678680e-006	2.404233e+001
5.030021857466843e-006	2.422698e+001
5.030251271541386e-006	2.438799e+001
5.030584934184040e-006	2.456707e+001
5.030959072189339e-006	2.468725e+001
5.031336481053916e-006	2.473750e+001
5.031393950506724e-006	2.473726e+001
5.031508889408870e-006	2.472624e+001
5.031738767216631e-006	2.469175e+001
5.032198522832154e-006	2.460244e+001
5.032362842927879e-006	2.456653e+001
5.032531180535621e-006	2.452786e+001
5.032654826292449e-006	2.449931e+001
5.032780035014312e-006	2.447029e+001
5.032899967415128e-006	2.444243e+001
5.033139832220229e-006	2.438669e+001
5.033619561826963e-006	2.427589e+001
5.034265608185734e-006	2.412959e+001
5.034934144613340e-006	2.398327e+001
5.035322832993433e-006	2.390163e+001
5.035465094917896e-006	2.387284e+001
5.035576275919801e-006	2.385087e+001
5.035739532640443e-006	2.381897e+001
5.035882681726778e-006	2.379117e+001
5.036035552102858e-006	2.376160e+001
5.036198918714763e-006	2.373005e+001
5.036425548773232e-006	2.368637e+001
5.036728333827206e-006	2.362812e+001
5.037153727151938e-006	2.354658e+001
5.037839428262414e-006	2.342275e+001
5.038438295901920e-006	2.334278e+001
5.038835960580884e-006	2.333843e+001
5.039240787239191e-006	2.341726e+001
5.039729943315946e-006	2.362528e+001
5.040166456669187e-006	2.389068e+001
5.040374881189885e-006	2.403724e+001
5.040604503330631e-006	2.419933e+001
5.040839115962037e-006	2.434648e+001
5.041170372477311e-006	2.450651e+001
5.041549989745486e-006	2.461663e+001
5.041942312482284e-006	2.466352e+001
5.042002533286322e-006	2.466299e+001
5.042122974897867e-006	2.465131e+001
5.042363858120957e-006	2.461884e+001
5.042417412989830e-006	2.460963e+001
5.042524522731046e-006	2.458773e+001
5.042738742213476e-006	2.454056e+001
5.042827916475201e-006	2.451981e+001
5.042916588041818e-006	2.449855e+001
5.042982817785729e-006	2.448261e+001
5.043045481632064e-006	2.446749e+001
5.043111866567807e-006	2.445147e+001
5.043187779392444e-006	2.443313e+001
5.043339605045188e-006	2.439645e+001
5.043643256347208e-006	2.432336e+001
5.044250558954716e-006	2.417901e+001
5.044901916606559e-006	2.402755e+001
5.045244079057709e-006	2.395036e+001
5.045515284352042e-006	2.389095e+001
5.045873447542121e-006	2.381384e+001
5.046232001641726e-006	2.373732e+001
5.046593350956780e-006	2.366063e+001
5.047032215231562e-006	2.357081e+001
5.047688095866088e-006	2.345432e+001
5.048114959632644e-006	2.341150e+001
5.048507285377452e-006	2.343401e+001
5.049034792498769e-006	2.357380e+001
5.049543582203581e-006	2.380485e+001
5.049775689956737e-006	2.394034e+001
5.049970006922033e-006	2.406335e+001
5.050148290157430e-006	2.417235e+001
5.050424770822182e-006	2.432247e+001
5.050734944223034e-006	2.445041e+001
5.051165579930683e-006	2.455101e+001
5.051595543752174e-006	2.458511e+001
5.051657266219589e-006	2.458264e+001
5.051780711154419e-006	2.456798e+001
5.052027601020609e-006	2.452836e+001
5.052294802902757e-006	2.447464e+001
5.052510610614736e-006	2.442487e+001
5.052727054425527e-006	2.437203e+001
5.052926599819624e-006	2.432275e+001
5.053164624398837e-006	2.426416e+001
5.053587864928266e-006	2.416087e+001
5.053968718367330e-006	2.406906e+001
5.054193796046047e-006	2.401560e+001
5.054408521797116e-006	2.396523e+001
5.054664681994336e-006	2.390565e+001
5.054915006779542e-006	2.384777e+001
5.055267180496814e-006	2.376676e+001
5.055605160637217e-006	2.369071e+001
5.056234768416323e-006	2.356109e+001
5.056715624705138e-006	2.348932e+001
5.057129112188974e-006	2.347702e+001
5.057606621016592e-006	2.354657e+001
5.058121310790031e-006	2.371729e+001
5.058506328748519e-006	2.390051e+001
5.058708605277379e-006	2.401151e+001
5.058932809970385e-006	2.413559e+001
5.059162161778763e-006	2.425088e+001
5.059493629021306e-006	2.438910e+001
5.059741860425487e-006	2.446566e+001
5.059956939498095e-006	2.450679e+001
5.060178452399866e-006	2.452455e+001
5.060486096806344e-006	2.451784e+001
5.060790170739044e-006	2.448916e+001
5.060815328854218e-006	2.448556e+001
5.060865645081097e-006	2.447692e+001
5.060966277534856e-006	2.445811e+001
5.061167542445844e-006	2.441649e+001
5.061398735246858e-006	2.436435e+001
5.061601972305985e-006	2.431582e+001
5.061707663810144e-006	2.428995e+001
5.061830498382519e-006	2.425971e+001
5.061927945439887e-006	2.423574e+001
5.062025988659263e-006	2.421167e+001
5.062174932825292e-006	2.417515e+001
5.062323044820183e-006	2.413893e+001
5.062619268809965e-006	2.406681e+001
5.063211716786059e-006	2.392356e+001
5.063963237291608e-006	2.374816e+001
5.064813724829642e-006	2.357240e+001
5.065285343237164e-006	2.350833e+001
5.065681411141332e-006	2.350751e+001
5.066180857396518e-006	2.359452e+001
